Graph Size,Algorithm,Total Cost,Optimal Cost,Cost Difference,CPU Time,Real Time
100,genetic_algorithm,10376.0,10000,376.0,45.505784000000006,46.06520915031433
100,hill_climbing,10242.0,10000,242.0,0.053235000000000005,0.05369901657104492
100,simulated_annealing,10160.0,10000,160.0,0.03783500000000001,0.038076162338256836
100,genetic_algorithm,10388.0,10000,388.0,45.393150000000006,45.893264055252075
100,hill_climbing,10276.0,10000,276.0,0.04247100000000001,0.04276466369628906
100,simulated_annealing,10186.0,10000,186.0,0.038194000000000006,0.03843498229980469
100,genetic_algorithm,10387.0,10000,387.0,45.347819,46.0289740562439
100,hill_climbing,10199.0,10000,199.0,0.067678,0.06859993934631348
100,simulated_annealing,10185.0,10000,185.0,0.037999000000000005,0.038163185119628906
100,genetic_algorithm,10389.0,10000,389.0,45.423021000000006,45.962279081344604
105,hill_climbing,11300.0,11025,275.0,0.04913400000000001,0.04944610595703125
105,simulated_annealing,11220.0,11025,195.0,0.03909399999999999,0.039338111877441406
105,genetic_algorithm,11428.0,11025,403.0,47.662391,48.11091995239258
105,hill_climbing,11237.0,11025,212.0,0.08297099999999999,0.08365321159362793
105,simulated_annealing,11240.0,11025,215.0,0.039841000000000015,0.04033708572387695
105,genetic_algorithm,11426.0,11025,401.0,48.212692,48.84656095504761
105,hill_climbing,11389.0,11025,364.0,0.015835000000000002,0.015877962112426758
105,simulated_annealing,11225.0,11025,200.0,0.039886000000000005,0.039977073669433594
105,genetic_algorithm,11426.0,11025,401.0,48.299264,48.904128074645996
105,hill_climbing,11357.0,11025,332.0,0.027438000000000004,0.027676820755004883
105,simulated_annealing,11214.0,11025,189.0,0.039791999999999994,0.04012179374694824
105,genetic_algorithm,11436.0,11025,411.0,47.663546000000004,48.045397996902466
105,hill_climbing,11279.0,11025,254.0,0.05445599999999999,0.05482292175292969
105,simulated_annealing,11216.0,11025,191.0,0.039505999999999986,0.03959202766418457
105,genetic_algorithm,11428.0,11025,403.0,47.902255,48.58268594741821
110,hill_climbing,12355.0,12100,255.0,0.064661,0.0648050308227539
110,simulated_annealing,12291.0,12100,191.0,0.04189100000000001,0.04230904579162598
110,genetic_algorithm,12529.0,12100,429.0,50.46995,51.07788801193237
110,hill_climbing,12422.0,12100,322.0,0.047573000000000004,0.04780316352844238
110,simulated_annealing,12291.0,12100,191.0,0.04122000000000001,0.041461944580078125
110,genetic_algorithm,12505.0,12100,405.0,50.024389,50.502233266830444
110,hill_climbing,12359.0,12100,259.0,0.053561,0.053978919982910156
110,simulated_annealing,12311.0,12100,211.0,0.04114999999999999,0.041596174240112305
110,genetic_algorithm,12513.0,12100,413.0,50.00881,50.52927899360657
110,hill_climbing,12351.0,12100,251.0,0.080783,0.08113622665405273
110,simulated_annealing,12320.0,12100,220.0,0.041347999999999996,0.041706085205078125
110,genetic_algorithm,12510.0,12100,410.0,49.877549,50.37393617630005
110,hill_climbing,12333.0,12100,233.0,0.08477700000000002,0.08582592010498047
110,simulated_annealing,12303.0,12100,203.0,0.041170999999999985,0.04185199737548828
110,genetic_algorithm,12524.0,12100,424.0,50.397659000000004,51.19823098182678
115,hill_climbing,13595.0,13225,370.0,0.03265900000000001,0.0326991081237793
115,simulated_annealing,13466.0,13225,241.0,0.04258200000000001,0.04262495040893555
115,genetic_algorithm,13693.0,13225,468.0,52.381795999999994,52.889076948165894
115,hill_climbing,13437.0,13225,212.0,0.10242299999999999,0.10290718078613281
115,simulated_annealing,13442.0,13225,217.0,0.04386200000000001,0.044075965881347656
115,genetic_algorithm,13669.0,13225,444.0,52.446721,52.88352584838867
115,hill_climbing,13463.0,13225,238.0,0.085714,0.08658814430236816
115,simulated_annealing,13444.0,13225,219.0,0.042322,0.042539119720458984
115,genetic_algorithm,13661.0,13225,436.0,52.187978,52.70911002159119
115,hill_climbing,13580.0,13225,355.0,0.05638099999999999,0.0572352409362793
115,simulated_annealing,13443.0,13225,218.0,0.043546,0.04453611373901367
115,genetic_algorithm,13697.0,13225,472.0,52.170959,52.71138095855713
115,hill_climbing,13500.0,13225,275.0,0.07012800000000001,0.07070302963256836
115,simulated_annealing,13460.0,13225,235.0,0.042767,0.04318809509277344
115,genetic_algorithm,13675.0,13225,450.0,52.865528,53.64674520492554
120,hill_climbing,14765.0,14400,365.0,0.047656000000000004,0.04811906814575195
120,simulated_annealing,14647.0,14400,247.0,0.04472999999999999,0.045269012451171875
120,genetic_algorithm,14857.0,14400,457.0,54.409208,54.97663903236389
120,hill_climbing,14681.0,14400,281.0,0.09460099999999999,0.09469413757324219
120,simulated_annealing,14644.0,14400,244.0,0.043335999999999986,0.04356980323791504
120,genetic_algorithm,14856.0,14400,456.0,54.272046,54.68965697288513
120,hill_climbing,14660.0,14400,260.0,0.10282299999999998,0.10350584983825684
120,simulated_annealing,14644.0,14400,244.0,0.04363600000000001,0.04383683204650879
120,genetic_algorithm,14876.0,14400,476.0,54.130436,54.65615892410278
120,hill_climbing,14823.0,14400,423.0,0.022703000000000015,0.0229489803314209
